Changed At,Unique Key,SKU,Variant ID,Product,Variant,Old Price,New Price,Currency,URL
2026-09-05 06:51:09,VARIANT:41123484696712,92149085,41123484696712,Hematite Bracelet,19 cm,19000,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:41112456265864,92149089,41112456265864,Hematite Bracelet,20 cm,15200,12500,USD,https://jacobandco.shop/products/hematite-bracelet-2
2026-09-05 06:51:09,VARIANT:43108488806536,,43108488806536,Hematite Bracelet,20 cm,19000,17200,USD,https://jacobandco.shop/products/hematite-bracelet-4
2026-09-05 06:51:09,VARIANT:43952715858056,91944914,43952715858056,Infinia Earrings,Default Title,117000,91000,USD,https://jacobandco.shop/products/infinia-earrings-pink-sapphires
2026-09-05 06:51:09,VARIANT:42493721051272,92355286,42493721051272,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726851208,92355293,42493726851208,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736648840,92355290,42493736648840,Jacob's Code Bracelet,18,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:42493721084040,92355287,42493721084040,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726883976,92355294,42493726883976,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736681608,92355291,42493736681608,Jacob's Code Bracelet,19,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:42493721116808,92355288,42493721116808,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-brown-stainless-steel
2026-09-05 06:51:09,VARIANT:42493726916744,92355295,42493726916744,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-blue-stainless-steel
2026-09-05 06:51:09,VARIANT:42493736714376,92355292,42493736714376,Jacob's Code Bracelet,20,4100,16200,USD,https://jacobandco.shop/products/jacobs-code-bracelet-red-stainless-steel
2026-09-05 06:51:09,VARIANT:43966341349512,91328341,43966341349512,Jezebel Diamond Earrings,Default Title,127000,127103,USD,https://jacobandco.shop/products/jezebel-diamond-earrings
2026-09-05 06:51:09,VARIANT:42384220553352,92457713,42384220553352,Love Lockdown Diamond Choker,14,160000,180000,USD,https://jacobandco.shop/products/love-lockdown-diamond-choker-rose-gold
2026-09-05 06:51:09,VARIANT:42384243851400,92457714,42384243851400,Love Lockdown Diamond Choker,14,160000,180000,USD,https://jacobandco.shop/products/love-lockdown-diamond-choker-white-gold
2026-09-05 06:51:09,VARIANT:41799232979080,92353788,41799232979080,Match Diamond Bangle,15,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-rose-gold-bangle
2026-09-05 06:51:09,VARIANT:41799233667208,92252412,41799233667208,Match Diamond Bangle,15,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-bangle
2026-09-05 06:51:09,VARIANT:41803632443528,92353791,41803632443528,Match Diamond Bangle,15,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-full-pave
2026-09-05 06:51:09,VARIANT:41889724563592,,41889724563592,Match Diamond Bangle,15,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-pave
2026-09-05 06:51:09,VARIANT:41799233011848,92353789,41799233011848,Match Diamond Bangle,16,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-rose-gold-bangle
2026-09-05 06:51:09,VARIANT:41799233699976,92252413,41799233699976,Match Diamond Bangle,16,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-bangle
2026-09-05 06:51:09,VARIANT:41803632476296,92353791,41803632476296,Match Diamond Bangle,16,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-full-pave
2026-09-05 06:51:09,VARIANT:41889724596360,,41889724596360,Match Diamond Bangle,16,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-pave
2026-09-05 06:51:09,VARIANT:41799233044616,92353790,41799233044616,Match Diamond Bangle,17,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-rose-gold-bangle
2026-09-05 06:51:09,VARIANT:41799233732744,92252414,41799233732744,Match Diamond Bangle,17,15900,12000,USD,https://jacobandco.shop/products/match-white-diamond-bangle
2026-09-05 06:51:09,VARIANT:41803632509064,92353791,41803632509064,Match Diamond Bangle,17,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-full-pave
2026-09-05 06:51:09,VARIANT:41889724629128,,41889724629128,Match Diamond Bangle,17,19800,16800,USD,https://jacobandco.shop/products/match-diamond-bangle-pave
2026-09-05 06:51:09,VARIANT:41453650903176,92354646,41453650903176,Match Diamond Earrings,Default Title,21500,18500,USD,https://jacobandco.shop/products/match-earrings-pave
2026-09-05 06:51:09,VARIANT:41453659914376,92354645,41453659914376,Match Diamond Earrings,Default Title,21500,18500,USD,https://jacobandco.shop/products/match-earrings-white-diamonds
2026-09-05 06:51:09,VARIANT:41459973685384,92252277,41459973685384,Match Diamond Necklace,5cm,10700,8700,USD,https://jacobandco.shop/products/match-necklace-full-pave-white-gold
2026-09-05 06:51:09,VARIANT:41459982172296,92252278,41459982172296,Match Diamond Necklace,5cm,10700,8700,USD,https://jacobandco.shop/products/match-necklace-rose-gold-full-pave
2026-09-05 06:51:09,VARIANT:41459973718152,92251748,41459973718152,Match Diamond Necklace,7cm,11900,8700,USD,https://jacobandco.shop/products/match-necklace-full-pave-white-gold
2026-09-05 06:51:09,VARIANT:41459982205064,92251747,41459982205064,Match Diamond Necklace,7cm,11900,8700,USD,https://jacobandco.shop/products/match-necklace-rose-gold-full-pave
