Unique Key,Product ID,Variant ID,SKU,Product,Variant,Product Type,Vendor,Collections,Price,Compare At Price,Currency,Available,Option 1,Option 2,Option 3,Handle,URL,Last Seen
VARIANT:41913013272712,7893457141896,41913013272712,,Carabin Lock Diamond Bracelet,16,,Hand crafted in 18k white gold and white diamonds,Carabin,17800,,USD,YES,16,,,carabin-diamond-bracelet-white-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913025888392,7893471232136,41913025888392,,Carabin Lock Diamond Bracelet,16,,Hand crafted in 18k yellow gold and white diamonds,Carabin,17800,,USD,YES,16,,,carabin-diamond-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41912966545544,7893419131016,41912966545544,,Carabin Lock Diamond Bracelet,17,,Hand crafted in 18k rose gold and white diamonds,Carabin,17800,,USD,YES,17,,,carabin-diamond-bracelet-rose-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913013305480,7893457141896,41913013305480,,Carabin Lock Diamond Bracelet,17,,Hand crafted in 18k white gold and white diamonds,Carabin,17800,,USD,YES,17,,,carabin-diamond-bracelet-white-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913025921160,7893471232136,41913025921160,,Carabin Lock Diamond Bracelet,17,,Hand crafted in 18k yellow gold and white diamonds,Carabin,17800,,USD,YES,17,,,carabin-diamond-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41912966578312,7893419131016,41912966578312,92458146,Carabin Lock Diamond Bracelet,18,,Hand crafted in 18k rose gold and white diamonds,Carabin,17800,,USD,YES,18,,,carabin-diamond-bracelet-rose-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913013338248,7893457141896,41913013338248,,Carabin Lock Diamond Bracelet,18,,Hand crafted in 18k white gold and white diamonds,Carabin,17800,,USD,YES,18,,,carabin-diamond-bracelet-white-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913025953928,7893471232136,41913025953928,92458158,Carabin Lock Diamond Bracelet,18,,Hand crafted in 18k yellow gold and white diamonds,Carabin,17800,,USD,YES,18,,,carabin-diamond-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41912986796168,7893419131016,41912986796168,92458156,Carabin Lock Diamond Bracelet,19,,Hand crafted in 18k rose gold and white diamonds,Carabin,25600,,USD,YES,19,,,carabin-diamond-bracelet-rose-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913013371016,7893457141896,41913013371016,,Carabin Lock Diamond Bracelet,19,,Hand crafted in 18k white gold and white diamonds,Carabin,25600,,USD,YES,19,,,carabin-diamond-bracelet-white-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913025986696,7893471232136,41913025986696,92458159,Carabin Lock Diamond Bracelet,19,,Hand crafted in 18k yellow gold and white diamonds,Carabin,25600,,USD,YES,19,,,carabin-diamond-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:41912986828936,7893419131016,41912986828936,,Carabin Lock Diamond Bracelet,20,,Hand crafted in 18k rose gold and white diamonds,Carabin,25600,,USD,YES,20,,,carabin-diamond-bracelet-rose-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-rose-gold,2026-08-19 05:22:54
VARIANT:41913013403784,7893457141896,41913013403784,,Carabin Lock Diamond Bracelet,20,,Hand crafted in 18k white gold and white diamonds,Carabin,25600,,USD,YES,20,,,carabin-diamond-bracelet-white-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-white-gold,2026-08-19 05:22:54
VARIANT:41913026019464,7893471232136,41913026019464,,Carabin Lock Diamond Bracelet,20,,Hand crafted in 18k yellow gold and white diamonds,Carabin,25600,,USD,YES,20,,,carabin-diamond-bracelet-yellow-gold,https://jacobandco.shop/products/carabin-diamond-bracelet-yellow-gold,2026-08-19 05:22:54
VARIANT:42868856619144,8336351133832,42868856619144,92457151,Celestial Necklace,Default Title,,"Hand crafted in 18k rose gold and set with 32 high-quality round brilliant cut diamonds, reversible blue or black enamel",Zodiac,17600,,USD,YES,Default Title,,,celestial-pendant,https://jacobandco.shop/products/celestial-pendant,2026-08-19 05:22:54
VARIANT:42304776798344,6830249836680,42304776798344,92457272,Cuban Link Bracelet,18cm,,Hand crafted in 18k rose gold and set with 713 high-quality round brilliant cut pink sapphires,Cuban Link,30500,,USD,YES,18cm,,,cuban-link-bracelet-3,https://jacobandco.shop/products/cuban-link-bracelet-3,2026-08-19 05:22:54
VARIANT:42304778666120,6830258323592,42304778666120,91945249,Cuban Link Bracelet,21cm,,"Hand crafted in 18k black plated gold and set with 1,502 high-quality round brilliant cut black diamonds",Cuban Link,43600,,USD,YES,21cm,,,cuban-link-bracelet-1,https://jacobandco.shop/products/cuban-link-bracelet-1,2026-08-19 05:22:54
VARIANT:42304779518088,6830261141640,42304779518088,91843266,Cuban Link Bracelet,21cm,,"Hand crafted in 18k white gold and set with 1,385 high-quality round brilliant cut blue sapphires",Cuban Link,45800,,USD,YES,21cm,,,cuban-link-bracelet-2,https://jacobandco.shop/products/cuban-link-bracelet-2,2026-08-19 05:22:54
VARIANT:42304780173448,6830267138184,42304780173448,92150008,Cuban Link Bracelet,21cm,,"Hand crafted in 18k rose gold and set with 1,502 high-quality round brilliant cut rubies",Cuban Link,45800,,USD,YES,21cm,,,cuban-link-bracelet-5,https://jacobandco.shop/products/cuban-link-bracelet-5,2026-08-19 05:22:54
VARIANT:42304781549704,6830264320136,42304781549704,92148427,Cuban Link Bracelet,21cm,,"Hand crafted in 18k white gold and set with 1,502 high-quality round brilliant cut diamonds",Cuban Link,65500,,USD,YES,21cm,,,cuban-link-bracelet-4,https://jacobandco.shop/products/cuban-link-bracelet-4,2026-08-19 05:22:54
